RMOB,MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Active Exceptions of 23 Rules in MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeStamp,5/17/2021 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Applied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,Admin Level 5,Rule Code,Rule Name,Severity,LE Status,Priority,DBE Val Comment,DBE Comment,Responsibility,LE Review,User Id,User Location,Assigned To,LE Reason,LE Details,Timestamp,Remark,Message,WAV Status,Project Name,LE Check,Validation Type,Clean For Extracts,CCLV Runlist,LE Enabled,Validation Id,Link Id
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916611,1613795930
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916610,2282489541
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916619,571439145
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916618,571393956
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916617,571413631
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916616,571427863
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916615,2282489542
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,RDS26+03958,F,UNKNOWN,NO,W  ,NO,NO,YES,2452916614,2282478190
Saudo Arabija,Mai Di Na,Mai Di Na,,,RDS080,Missing Internal RDS-TMC Code at Start or End of RDS-TMC Path,2,Active,CRITICAL,ICE,-,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:33,,The positive internal RDS-TMC code and negative internal RDS-TMC code for table 26 and point location 3958 is missing,F,UNKNOWN,NO,W  ,NO,NO,YES,2455549724,2282489542
Saudo Arabija,Riad,Riad,,,RDS002,RDS-TMC: Identical Internal and External RDS-TMC Codes Should Be Attached,2,Active,CRITICAL,-,-,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:29,,Broken code causing gap or a fork between RDS28+12133 coding. Please verify T/F placement if coding is correct due to splitter.,F,UNKNOWN,NO,W  ,NO,NO,YES,2454926593,571133490
